rixo_company,auction_name,stock_location,venue_id,pol,supported_vehicle_type,rixo_price
LOGICO,ARAI BAYSIDE,GLOBAL KAWASAKI,22431,YOKOHAMA,,4800
LOGICO,ARAI BAYSIDE,AQUA LOGISTICS,22431,YOKOHAMA,,11600
LOGICO,ARAI BAYSIDE,GLOBAL NAGOYA,22431,NAGOYA,,23000
LOGICO,ARAI BAYSIDE,KLC,22431,SENBOKU (OSAKA),,32000
LOGICO,ARAI BAYSIDE,KOBE,22431,KOBE,,33200
LOGICO,ARAI BAYSIDE,GLOBAL HAKATA,22431,HAKATA,,48000
KLC,ARAI BAYSIDE,KLC,22431,SENBOKU (OSAKA),,28000
KLC,ARAI BAYSIDE,KOBE,22431,KOBE,,28000
KLC,ARAI BAYSIDE,FUJITRANS KINJO,22431,NAGOYA,,25000
KLC,ARAI BAYSIDE,GLOBAL NAGOYA,22431,NAGOYA,,25000
KLC,ARAI BAYSIDE,GLOBAL KAWASAKI,22431,YOKOHAMA,,5000
KLC,ARAI BAYSIDE,AQUA LOGISTICS,22431,YOKOHAMA,,10000
LOGICO,ARAI BAYSIDE (FUKUOKA YARD),GLOBAL KAWASAKI,22431,YOKOHAMA,,48500
LOGICO,ARAI BAYSIDE (FUKUOKA YARD),AQUA LOGISTICS,22431,YOKOHAMA,,49600
LOGICO,ARAI BAYSIDE (FUKUOKA YARD),GLOBAL NAGOYA,22431,NAGOYA,,37000
LOGICO,ARAI BAYSIDE (FUKUOKA YARD),KLC,22431,SENBOKU (OSAKA),,33000
LOGICO,ARAI BAYSIDE (FUKUOKA YARD),KOBE,22431,KOBE,,33000
LOGICO,ARAI BAYSIDE (FUKUOKA YARD),GLOBAL HAKATA,22431,HAKATA,,6200
LOGICO,ARAI BAYSIDE (HACHIOUJI),GLOBAL KAWASAKI,22431,YOKOHAMA,,13100
LOGICO,ARAI BAYSIDE (HACHIOUJI),AQUA LOGISTICS,22431,YOKOHAMA,,23300
KLC,ARAI BAYSIDE (HACHIOUJI),KLC,22431,SENBOKU (OSAKA),,30000
KLC,ARAI BAYSIDE (HACHIOUJI),KOBE,22431,KOBE,,30000
KLC,ARAI BAYSIDE (HACHIOUJI),FUJITRANS KINJO,22431,NAGOYA,,29000
KLC,ARAI BAYSIDE (HACHIOUJI),GLOBAL NAGOYA,22431,NAGOYA,,29000
KLC,ARAI BAYSIDE (HACHIOUJI),GLOBAL KAWASAKI,22431,YOKOHAMA,,12000
KLC,ARAI BAYSIDE (HACHIOUJI),AQUA LOGISTICS,22431,YOKOHAMA,,19500
LOGICO,ARAI BAYSIDE (NODA),GLOBAL KAWASAKI,22431,YOKOHAMA,,8200
LOGICO,ARAI BAYSIDE (NODA),AQUA LOGISTICS,22431,YOKOHAMA,,10800
LOGICO,ARAI BAYSIDE (NODA),GLOBAL NAGOYA,22431,NAGOYA,,23000
LOGICO,ARAI BAYSIDE (NODA),KLC,22431,SENBOKU (OSAKA),,32000
LOGICO,ARAI BAYSIDE (NODA),KOBE,22431,KOBE,,33200
LOGICO,ARAI BAYSIDE (NODA),GLOBAL HAKATA,22431,HAKATA,,49800
KLC,ARAI BAYSIDE (OKINAWA YARD),KLC,22431,SENBOKU (OSAKA),,48000
KLC,ARAI BAYSIDE (OKINAWA YARD),KOBE,22431,KOBE,,48000
KLC,ARAI BAYSIDE (OKINAWA YARD),FUJITRANS KINJO,22431,NAGOYA,,56000
KLC,ARAI BAYSIDE (OKINAWA YARD),GLOBAL NAGOYA,22431,NAGOYA,,56000
LOGICO,ARAI BAYSIDE (UKISHIMA),GLOBAL KAWASAKI,22431,YOKOHAMA,,4800
LOGICO,ARAI BAYSIDE (UKISHIMA),AQUA LOGISTICS,22431,YOKOHAMA,,11600
LOGICO,ARAI BAYSIDE (UKISHIMA),GLOBAL NAGOYA,22431,NAGOYA,,23000
LOGICO,ARAI BAYSIDE (UKISHIMA),KLC,22431,SENBOKU (OSAKA),,32000
LOGICO,ARAI BAYSIDE (UKISHIMA),KOBE,22431,KOBE,,33200
LOGICO,ARAI BAYSIDE (UKISHIMA),GLOBAL HAKATA,22431,HAKATA,,48000
KLC,ARAI KANSAI,KLC,22431,SENBOKU (OSAKA),,6000
KLC,ARAI KANSAI,KOBE,22431,KOBE,,6000
KLC,ARAI KANSAI,FUJITRANS KINJO,22431,NAGOYA,,11000
KLC,ARAI KANSAI,GLOBAL NAGOYA,22431,NAGOYA,,11000
KLC,ARAI KANSAI,GLOBAL KAWASAKI,22431,YOKOHAMA,,29000
KLC,ARAI KANSAI,AQUA LOGISTICS,22431,YOKOHAMA,,30000
KLC,ARAI KANSAI,GLOBAL HAKATA,22431,HAKATA,,26000
LOGICO,ARAI OYAMA,GLOBAL KAWASAKI,22431,YOKOHAMA,,13200
LOGICO,ARAI OYAMA,AQUA LOGISTICS,22431,YOKOHAMA,,19200
LOGICO,ARAI OYAMA,GLOBAL NAGOYA,22431,NAGOYA,,29000
LOGICO,ARAI OYAMA,KLC,22431,SENBOKU (OSAKA),,34000
LOGICO,ARAI OYAMA,KOBE,22431,KOBE,,35200
LOGICO,ARAI OYAMA,GLOBAL HAKATA,22431,HAKATA,,54600
KLC,ARAI OYAMA,KLC,22431,SENBOKU (OSAKA),,31000
KLC,ARAI OYAMA,KOBE,22431,KOBE,,31000
KLC,ARAI OYAMA,FUJITRANS KINJO,22431,NAGOYA,,35000
KLC,ARAI OYAMA,GLOBAL NAGOYA,22431,NAGOYA,,35000
KLC,ARAI OYAMA,GLOBAL KAWASAKI,22431,YOKOHAMA,,15000
KLC,ARAI OYAMA,AQUA LOGISTICS,22431,YOKOHAMA,,20500
YAMAZAKI,ARAI OYAMA,GLOBAL KAWASAKI,22431,YOKOHAMA,,10000
LOGICO,ARAI OYAMA (TSUKUBA),GLOBAL KAWASAKI,22431,YOKOHAMA,,14400
